seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
KITTI-17,0.6466211342111972,0.6779332632229877,0.43836597558474644,0.6466211342111972,0.6466211342111972,0.6447411382587576,0.6434392723190626,0.6352831504580271,0.6348145698187594,0.6339313026333689,0.6192185720078062,0.5927433150382423,0.5661563314508175,0.5425561602558603,0.486048023193372,0.4016992774162616,0.2623160701844659,0.16041894170120838,0.07840208040340511,0.04328930879196027,0.009299685428929947,0.0,0.4340841825148789,0.6652046783625731,0.6652046783625731,0.6603498542274052,0.6579330422125182,0.6459537572254336,0.6435786435786436,0.6412103746397695,0.6225071225071225,0.593006993006993,0.5667125171939478,0.5391891891891892,0.4773022049286641,0.38902439024390245,0.23939064200217627,0.13220675944333996,0.05268022181146026,0.024280575539568347,0.003524229074889868,0.0,0.43259262492369316,0.6285567507399238,0.6285567507399238,0.6295013661349981,0.6292647892712987,0.624788813040417,0.62616984276131,0.6267348632408031,0.6159473941039117,0.5924797543127485,0.5656006915621926,0.5459441563994265,0.4949540949334032,0.41478712780856514,0.2874369695553768,0.1946514456968038,0.11668299791108289,0.0771795649008328,0.024539877300613498,0.0,0.43809353949545426,0.6661786237188873,0.6661786237188873,0.6632503660322109,0.6617862371888726,0.6544655929721815,0.6530014641288433,0.6515373352855052,0.6398243045387995,0.6207906295754027,0.6032210834553441,0.5841874084919473,0.5387994143484627,0.4670571010248902,0.32210834553440704,0.19472913616398244,0.08345534407027819,0.03953147877013177,0.005856515373352855,0.0,0.45873468444170457,0.9978070175438597,0.9978070175438597,0.993421052631579,0.9912280701754386,0.9802631578947368,0.9780701754385965,0.9758771929824561,0.9583333333333334,0.9298245614035088,0.9035087719298246,0.875,0.8070175438596491,0.6995614035087719,0.4824561403508772,0.2916666666666667,0.125,0.05921052631578947,0.008771929824561403,0.0,0.6870960295475531,0.6286091710130071,0.6286091710130071,0.6298033712280771,0.6297398021702502,0.6274668067695329,0.6288536637994453,0.629444675047227,0.6230868976343841,0.6088718839828949,0.5908569827921485,0.577942694192401,0.5436563627448839,0.4798247042659587,0.3576824322140324,0.2562528277215398,0.16458972521787832,0.11469565995516326,0.039603960396039604,0.0,0.46103109432409856,0.9920540997464073,0.9920540997464073,0.991996377426841,0.9902087587928297,0.98065580951487,0.9817335131236478,0.9805688693329143,0.9640353497511902,0.938570721967144,0.9131416905483131,0.8881362717916909,0.8262263688292998,0.7348111473660258,0.5497317252095952,0.39258876798399883,0.25353508809747966,0.1799435165462723,0.06060606060606061,0.0,0.7163472755989994,0.6779332632229877,0.6779332632229877,0.6803713360164316,0.6815381990969748,0.686693165167077,0.6876517886197144,0.6884190685013594,0.6940013602892074,0.7022199206324546,0.7088431427444533,0.714708556324987,0.7266486201524657,0.742524195755543,0.7735285048958376,0.8050728759119814,0.8460575042553328,0.8717902827936038,0.9120588908670627,1.0,0.751473365182656,0.6470943293965248,0.6470943293965248,0.6461555629311058,0.6453206777155848,0.6394550656683251,0.6394449343895556,0.6390157765864927,0.6277723417489983,0.6064700154916902,0.5841080909962109,0.5647421552428181,0.5164116347251396,0.4401468771406984,0.3042792249051948,0.19469028705513006,0.09868039186090098,0.05523606006374169,0.011988251276613938,0.0,0.44779505297848693,455.0,455.0,453.0,452.0,447.0,446.0,445.0,437.0,424.0,412.0,399.0,368.0,319.0,220.0,133.0,57.0,27.0,4.0,0.0,313.3157894736842,228.0,228.0,230.0,231.0,236.0,237.0,238.0,246.0,259.0,271.0,284.0,315.0,364.0,463.0,550.0,626.0,656.0,679.0,683.0,369.6842105263158,1.0,1.0,3.0,4.0,9.0,10.0,11.0,19.0,32.0,44.0,57.0,88.0,137.0,236.0,323.0,399.0,429.0,452.0,456.0,142.68421052631578,456,683,13,9
MOT16-09,0.4861163120115681,0.7065341532962257,0.3434577769105771,0.4861163120115681,0.48374322385745117,0.4828130522361695,0.4818780118759257,0.4808122197254447,0.4793427621271014,0.4778541043627506,0.4757853662936419,0.4702324991135806,0.4637368627733903,0.4522622089969468,0.42888805365324856,0.3874329631966308,0.3240529858181946,0.21538338394588172,0.12521920851842833,0.05813130419316378,0.017778821543634984,0.0030407948602519056,0.3576054810054423,0.5635709389993147,0.5497622282608695,0.5450389434473417,0.5403443619176233,0.5349032800672834,0.5300134138162307,0.5228638184245661,0.517545318476634,0.5047823218997362,0.48615635179153094,0.46916760586056994,0.4354255151801164,0.38006654567453113,0.3054363376251788,0.19813550420168066,0.11117876278616659,0.04476757499427524,0.012314177945418238,0.001756504555933692,0.38174892136447375,0.4193066967280504,0.4256522085343419,0.4276913534567051,0.4297378388578342,0.43219101331408927,0.43351635565077595,0.4367189639251544,0.43739496175037884,0.43804743872651686,0.44235126642369327,0.43596595999337767,0.4224487453161349,0.39494215599776367,0.3438043372120058,0.2341327076481914,0.14103278170255545,0.07548428807301423,0.025668501533878393,0.005264110104866393,0.3369132465762804,0.6256420011413354,0.6157504280007609,0.612326421913639,0.608902415826517,0.6049077420582081,0.6012935134106905,0.595967281719612,0.591972607951303,0.5822712573711242,0.5678143427810538,0.5543085409929618,0.526536047175195,0.4780292942743009,0.40612516644474034,0.2870458436370554,0.17367319764124026,0.0743770211147042,0.021114704203918585,0.003043560966330607,0.4490053362434049,0.8503102378490176,0.8368665977249224,0.8322130299896587,0.827559462254395,0.8221302998965874,0.8172182006204757,0.8099793174767321,0.8045501551189245,0.7913650465356774,0.7717166494312306,0.7533609100310238,0.7156153050672182,0.6496897621509824,0.5519648397104446,0.39012409513960705,0.2360392967942089,0.10108583247156153,0.028697001034126163,0.004136504653567736,0.6102432917868612,0.43328714842045596,0.4396882864749004,0.44174648059465155,0.4438285948422717,0.4463189977273908,0.44787958385523036,0.45109718266048476,0.4519075555950618,0.4536673912990197,0.4586551311419601,0.4558636645187195,0.4491338125773143,0.4322920939222951,0.39674827254364164,0.30074936384381706,0.19002444651767467,0.10276567581347949,0.038594773318475384,0.008731259383829902,0.3601568271079303,0.8733783239115046,0.8848004775308835,0.8878338424940038,0.8906002038286498,0.8925251940857082,0.894692744226986,0.898881455680778,0.8988909994997706,0.8969660143998607,0.9013252527481103,0.8933265746850154,0.8609074263970069,0.7972330117845928,0.6990787058683537,0.5447989671021589,0.38892046117595863,0.2265651343175416,0.08264174594407829,0.01760957239933825,0.7068934793726473,0.7065341532962257,0.716730406022997,0.7200291871480413,0.723063009891844,0.7263361424919692,0.729040239633416,0.7325998606019972,0.7350102635403071,0.740152160221874,0.7469508048861337,0.7523408549276418,0.7617421732416806,0.7753754957392461,0.7927532763653136,0.8202481789791656,0.8503433871907871,0.8872914992292978,0.9243813680769775,0.9596778274621719,0.7789789625761625,0.512187349348752,0.5119526634216196,0.5117486845567321,0.5115353440893422,0.5113078231375642,0.510559078472074,0.510166848987544,0.508847556948181,0.5050370609524507,0.5011720199918749,0.491588908750518,0.47162961367250716,0.43450422335206573,0.37366775840932476,0.25924278310090554,0.15650435831158763,0.0749286092746622,0.023280524419472873,0.004002704090691426,0.38862441648883533,3289.0,3237.0,3219.0,3201.0,3180.0,3161.0,3133.0,3112.0,3061.0,2985.0,2914.0,2768.0,2513.0,2135.0,1509.0,913.0,391.0,111.0,16.0,2360.4210526315787,1968.0,2020.0,2038.0,2056.0,2077.0,2096.0,2124.0,2145.0,2196.0,2272.0,2343.0,2489.0,2744.0,3122.0,3748.0,4344.0,4866.0,5146.0,5241.0,2896.5789473684213,579.0,631.0,649.0,667.0,688.0,707.0,735.0,756.0,807.0,883.0,954.0,1100.0,1355.0,1733.0,2359.0,2955.0,3477.0,3757.0,3852.0,1507.578947368421,3868,5257,68,25
MOT16-11,0.5343741887352784,0.7708597994666992,0.4119275799686568,0.5343741887352784,0.5325796938283314,0.5317330705385062,0.5311236868068503,0.530731418813278,0.5301319867536465,0.5293471011169046,0.5278298999084575,0.5248862523143899,0.5209403549393747,0.5149018061756382,0.5046191829221764,0.4795296809623661,0.42713416860511705,0.3362417513089882,0.217861083724223,0.10531581633933867,0.03729392502471967,0.0041063371158635105,0.41687796873333943,0.5263484832798426,0.5175501801338137,0.5131889561736631,0.5099344530929947,0.508389605074688,0.5068479149632052,0.5048484229866286,0.5028542303771661,0.49964398331807547,0.49493003447576556,0.4870889650998588,0.47562806525873286,0.4512255143222758,0.40436273575919224,0.31940218364059425,0.2043950657626011,0.09328883945124213,0.026171086517714204,0.00217524301543063,0.3972775769843939,0.5425222692902985,0.5480456604322756,0.5509472776117744,0.5531933937318355,0.5540550713545251,0.5544857048485058,0.5550346216854323,0.5540460563062278,0.5514037736210611,0.5483176095623469,0.5443027639695782,0.53537740594539,0.5096092920836782,0.45118796035308784,0.3539691370756376,0.23221427398164451,0.11889333425589779,0.053144023761031396,0.0077517796354262085,0.4378158636581923,0.5541748419446261,0.5480706344015697,0.5450185306300415,0.5427294528013953,0.5416394157401352,0.5405493786788751,0.5391323304992369,0.5377152823195989,0.5354262044909527,0.5320470896010464,0.526378896882494,0.5179856115107914,0.499672988881622,0.46272073250490514,0.38903422716372354,0.2727272727272727,0.13712666230651843,0.04098539350337912,0.003488118596032265,0.4350854244833798,0.9129107559705513,0.902855090680553,0.897827258035554,0.8940563835518046,0.8922607290357335,0.8904650745196624,0.88813072364877,0.8857963727778775,0.8820254982941282,0.8764589692943078,0.867121565810738,0.8532950260369905,0.8231280301669959,0.7622553420721853,0.6408690967857784,0.4492727599209912,0.22589333812174536,0.06751660980427365,0.005746094451427546,0.7167307746831615,0.5619479731628415,0.5675804476146554,0.5705636655982763,0.5728070121955909,0.5737220960265208,0.5743480059413855,0.5750000790397716,0.5741680648707952,0.5723990556616336,0.5704140054048082,0.5681174741779974,0.5622094589566514,0.546336764763576,0.5061286062786654,0.4263307482124999,0.30725682491184514,0.1759514424076373,0.08547753112627636,0.01573720503564905,0.4687629716519514,0.929514324856292,0.9355977604997551,0.9389777607544322,0.9421951591768333,0.9422794622451324,0.9423127360958231,0.9424142719889725,0.9415312276624576,0.9382947352567302,0.9342312587880967,0.9262018190277161,0.9149845423702301,0.8888707794863363,0.83365301019225,0.7219371359249324,0.5364187237325316,0.309286173644151,0.14156609192020353,0.02527530484294161,0.7729232778139904,0.7708597994666992,0.7786308175648682,0.7823143161882863,0.7848760196281337,0.7860074576505263,0.7870447960464829,0.7882571145541168,0.7893479445521888,0.7908831218444217,0.7928670626030566,0.795701875732184,0.7992481035661541,0.8055421628088641,0.8157673089689708,0.8324737611073173,0.8563878858853096,0.8880532243083444,0.9232508000926416,0.9617363097809997,0.817328941176293,0.5483176021571723,0.5480581472746706,0.547974886010838,0.5479364451041981,0.5478120710027518,0.5474731986519321,0.5470256932695478,0.54581959618977,0.5433562640219705,0.5401210867431946,0.5352658110400842,0.5266097160209675,0.5046166843627933,0.45691796146789293,0.3710877385228873,0.2516568410183947,0.12768494859224605,0.046670426676845386,0.005199916028040681,0.4362950017976946,5084.0,5028.0,5000.0,4979.0,4969.0,4959.0,4946.0,4933.0,4912.0,4881.0,4829.0,4752.0,4584.0,4245.0,3569.0,2502.0,1258.0,376.0,32.0,3991.4736842105262,4090.0,4146.0,4174.0,4195.0,4205.0,4215.0,4228.0,4241.0,4262.0,4293.0,4345.0,4422.0,4590.0,4929.0,5605.0,6672.0,7916.0,8798.0,9142.0,5182.526315789473,485.0,541.0,569.0,590.0,600.0,610.0,623.0,636.0,657.0,688.0,740.0,817.0,985.0,1324.0,2000.0,3067.0,4311.0,5193.0,5537.0,1577.5263157894738,5569,9174,84,69
COMBINED,0.5228729741691126,0.7421048578892665,0.38802657418990744,0.5228729741691126,0.5209082789582403,0.5199796900801188,0.5192106995172113,0.5181930323026182,0.5172830468203936,0.5162140074356554,0.5138594336745718,0.5088364246314678,0.5028334009425813,0.4940604569624012,0.4770321891711356,0.44355398282239916,0.3838817560623472,0.2880483471399303,0.18239359615445294,0.08811943302697688,0.030582475646606235,0.003648717850596753,0.3974479970194114,0.5456455899622968,0.5353963283600417,0.5308846036118764,0.5271450381679389,0.5237950155383584,0.5210145368286601,0.517138870351271,0.5132829046898638,0.5055388320288983,0.49482933827485204,0.48277497776460127,0.46077457795431975,0.42157921664487524,0.3585592437659586,0.26323499696908464,0.16122591130717437,0.07183575500407184,0.02002773698808941,0.0019231539725149244,0.39245298043077614,0.5010507775483802,0.5068122822552538,0.5092987746419696,0.5113957847920949,0.5126509622299332,0.5135782816282264,0.5152907985659096,0.5144366102274476,0.5121555271879391,0.5109669325286498,0.5056097485916443,0.49386342127574123,0.46667418105513664,0.41099261893161715,0.31520068093297765,0.20634043032184315,0.1080942836412831,0.04669962548596896,0.006922556458572936,0.4035807514895047,0.5840942172819902,0.5769485245467778,0.5737726611089057,0.5711261082440122,0.5687442106656081,0.566759296016938,0.5639804155087997,0.5612015350006616,0.555577610162763,0.5477041153897049,0.538705835649067,0.5219002249569935,0.4906709011512505,0.4366812227074236,0.3447796744739976,0.22972078867275375,0.11089056503903666,0.03248643641656742,0.0031758634378721714,0.4409958003384802,0.892348124936824,0.8814313150712625,0.8765793995754574,0.8725361366622865,0.8688972000404326,0.8658647528555544,0.8616193267967249,0.8573739007378954,0.8487819670474073,0.8367532598807238,0.8230061659759426,0.7973314464773071,0.7496209441018902,0.6671383806732033,0.5267360760133427,0.3509552208632366,0.16941271606186192,0.04963105225917315,0.004851915495805115,0.673729963238228,0.5174492636526602,0.5232892943505343,0.5258419252988795,0.5279592025478351,0.5293854316606404,0.5305169110534982,0.5323018236276424,0.5318316848957428,0.5309588811462416,0.5311318438934507,0.5284236227211823,0.5216642093897225,0.5048303455183119,0.4657975197910147,0.3856240369406442,0.2740871284382179,0.15789085716626947,0.07450506595400169,0.013401889818376,0.43194162830867705,0.9118233745241212,0.91968684643863,0.9227629499232839,0.9255763796305978,0.9258689985972267,0.9267926417994206,0.9284056472030131,0.9270461900900093,0.9232429076781113,0.9213159011963896,0.9125704489267823,0.8918673434760942,0.8511913386987338,0.7806562189153254,0.6622355758232803,0.49298834327592184,0.28790420579310866,0.12758555723872395,0.02272006069507382,0.7506442594696762,0.7421048578892665,0.7503981318553966,0.7538692054412385,0.7565428246506143,0.7587682451162878,0.7604650990894384,0.762588167214198,0.7644994040391142,0.7679129335818885,0.7721280091762918,0.7762139920343324,0.7826997991753858,0.7926091037694952,0.8069146579833802,0.828234129335611,0.8546288250958488,0.8876135262613247,0.923415210295002,0.9610501490080571,0.8001398037374826,0.5409813876009542,0.5407444853804371,0.5405753538830897,0.5404363832503337,0.5399696906868272,0.5395139158031073,0.5390861885478638,0.5373105389997302,0.5334249186405948,0.5290167216393024,0.5218955088208524,0.507688320391399,0.47852214260402387,0.4236422539818057,0.329658593344773,0.21771698690871413,0.10948349734307805,0.03895002457030601,0.004688826500670253,0.4217529336262033,8828.0,8720.0,8672.0,8632.0,8596.0,8566.0,8524.0,8482.0,8397.0,8278.0,8142.0,7888.0,7416.0,6600.0,5211.0,3472.0,1676.0,491.0,48.0,6665.210526315789,6286.0,6394.0,6442.0,6482.0,6518.0,6548.0,6590.0,6632.0,6717.0,6836.0,6972.0,7226.0,7698.0,8514.0,9903.0,11642.0,13438.0,14623.0,15066.0,8448.78947368421,1065.0,1173.0,1221.0,1261.0,1297.0,1327.0,1369.0,1411.0,1496.0,1615.0,1751.0,2005.0,2477.0,3293.0,4682.0,6421.0,8217.0,9402.0,9845.0,3227.7894736842104,9893,15114,165,103
